type;title;director;country;co_production;date_added;release_year;duration;description
TV Show;DreamWorks Kung Fu Panda Awesome Secrets;;United States;N;01/07/2019;2008;1;In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.
TV Show;Hatchimals | Adventures in Hatchtopia;;United States;N;01/07/2019;2018;2;These fun-loving creatures hatch from their shells and spread friendship, laughter and life lessons in the land of Hatchtopia.
Movie;Katherine Ryan: Glitter Room;Linda Mendoza;United States;N;01/07/2019;2019;66;Fresh from a tour, comedian Katherine Ryan shares shrewd observations about school bullies, revenge bodies and raising a very fancy child.
TV Show;Molang;;France;N;01/07/2019;2015;1;An imaginative, big-hearted bunny and his friend, a shy chick, explore the everyday joys of their pastel-colored world.
TV Show;Rabbids Invasion;;France;N;01/07/2019;2018;1;Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!
Movie;Zach Galifianakis: Live at the Purple Onion;Michael Blieden;United States;N;26/02/2019;2006;61;The unorthodox, piano-playing stand-up star Zach Galifianakis makes a splash on the scene and serves up a healthy dose of his signature wit.
Movie;Life of An Outcast;Pawan K Shrivastava;India;N;25/02/2019;2018;80;When authorities jail his son for rejecting religious bias, a poor father’s struggle to bail him out highlights rural India’s enduring casteism.
Movie;The Photographer Of Mauthausen;Mar Targarona;Spain;N;23/02/2019;2018;110;A Catalán prisoner at a Nazi concentration camp uses his office job to steal photo negatives of the atrocities committed there. Based on true events.
Movie;Katt Williams: The Pimp Chronicles: Pt. 1;Gary Binkow;United States;N;01/11/2018;2006;45;In this 2006 show, comic Katt Williams uses his edgy style and personal experiences to paint a sassy, hilarious portrait of life in black America.
Movie;Katti Batti;Nikhil Advani;India;N;01/11/2018;2015;132;After falling in love during college, architect Maddy and free spirit Payal have five wonderful years together, until a mystery suddenly divides them.
Movie;Life in a ... Metro;Anurag Basu;India;N;01/11/2018;2007;126;A group of Mumbai up-and-comers search for love and struggle for success in this ensemble drama that centers on an eager young call-center executive.
Movie;Marc Maron: Thinky Pain;Lance Bangs;United States;N;01/11/2018;2013;95;Alternative comic Marc Maron is back on stage in New York to talk Chinese food, drug abuse, sex in hotel rooms and life with his girlfriend.
Movie;Mumbai Meri Jaan;Nishikant Kamat;India;N;01/11/2018;2008;135;A moving portrayal of the 2006 train bombings in Mumbai, this Indian drama follows the interconnected stories of several strangers.
Movie;What the Jatt!!;Saket Behl;India;N;01/10/2018;2015;140;A peasant from Punjab and his best friend pose as detectives, filmmakers and more while trying to retrieve stolen money in this romantic comedy.
Movie;Zindagi Kitni Haseen Hay;Anjum Shahzad;Pakistan;N;01/10/2018;2016;126;Two young parents struggle to keep their marriage afloat and their son protected amidst financial woes, career goals and clashes of ego.
Movie;Big Miracle;Ken Kwapis;United States, United Kingdom;Y;30/09/2018;2012;107;After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.
Movie;Paradise Lost;Monique Gardenberg;Brazil;N;29/09/2018;2018;111;A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.
Movie;Animal World;Han Yan;China;N;28/09/2018;2018;130;An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.
Movie;Hold the Dark;Jeremy Saulnier;United States;N;28/09/2018;2018;126;In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.
Movie;Lessons from a School Shooting: Notes from Dunblane;Kim A. Snyder;United States;N;28/09/2018;2018;24;Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.
TV Show;Made in Mexico;;United States;N;28/09/2018;2018;1;These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.
TV Show;Reboot: The Guardian Code;;Canada;N;28/09/2018;2018;2;Four tech-savvy teens hone their skills as cyber-superheroes in a series of secret missions to save the world.
TV Show;Skylanders Academy;;South Korea, United States;Y;28/09/2018;2018;3;Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.
Movie;The 3rd Eye;Rocky Soraya;Indonesia;N;28/09/2018;2018;108;When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.
Movie;Two Catalonias;Álvaro Longoria, Gerardo Olivares;Spain;N;28/09/2018;2018;117;Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
Movie;In Darkness;Anthony Byrne;United Kingdom, United States;Y;22/09/2018;2018;101;A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes.
TV Show;DRAGON PILOT: Hisone & Masotan;;Japan;N;21/09/2018;2018;1;Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.
TV Show;Maniac;;United States;N;21/09/2018;2018;1;Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.
Movie;Quincy;Rashida Jones, Alan Hicks;United States;N;21/09/2018;2018;124;This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.
Movie;Rafinha Bastos: Ultimatum;;Brazil;N;21/09/2018;2018;63;An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again.
TV Show;The Good Cop;;United States;N;21/09/2018;2018;1;When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.
TV Show;Mobile Suit Gundam UC;;Japan;N;20/09/2018;2014;1;When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.
TV Show;Transformers: Rescue Bots;;Canada, United States;Y;19/09/2018;2016;1;Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.
TV Show;Al Hayba;;Lebanon;N;15/09/2018;2017;1;In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.
TV Show;American Vandal;;United States;N;14/09/2018;2018;2;A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery.
TV Show;Ingobernable;;Mexico;N;14/09/2018;2018;2;The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth.
TV Show;Norm Macdonald Has a Show;;United States;N;14/09/2018;2018;1;Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
Movie;The Angel;Ariel Vromen;Israel, United States;Y;14/09/2018;2018;114;As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.
Movie;The Land of Steady Habits;Nicole Holofcener;United States;N;14/09/2018;2018;98;After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.
TV Show;The Rise of Phoenixes;;China;N;14/09/2018;2018;1;When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.
Movie;Reversing Roe;;United States;N;13/09/2018;2018;100;Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.
TV Show;Life;;South Korea;N;12/09/2018;2018;1;At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO.
Movie;On My Skin;Alessio Cremonini;Italy;N;12/09/2018;2018;100;Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events.
TV Show;Daniel Sloss: Live Shows;;United States;N;11/09/2018;2018;1;Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.
Movie;The Resistance Banker;Joram Lürsen;Netherlands;N;11/09/2018;2018;123;Risking his family and future, a banker in occupied Amsterdam slows the Nazi war machine by creating an underground bank to fund the resistance.
TV Show;Transformers Prime;;United States;N;08/09/2018;2013;1;With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.
TV Show;Transformers: Robots in Disguise;;United States;N;08/09/2018;2016;1;When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.
Movie;City of Joy;Madeleine Gavin;United States,;Y;07/09/2018;2018;77;Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.
TV Show;Marvel's Iron Fist;;United States;N;07/09/2018;2018;2;Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny.
Movie;Next Gen;Kevin R. Adams, Joe Ksander;China, Canada, United States;Y;07/09/2018;2018;106;When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.
Movie;Sierra Burgess Is A Loser;Ian Samuels;United States;N;07/09/2018;2018;106;A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
TV Show;Stretch Armstrong & the Flex Fighters;;United States;N;07/09/2018;2018;2;Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.
Movie;The Most Assassinated Woman in the World;Franck Ribière;Belgium, United Kingdom, United States;Y;07/09/2018;2018;102;In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.
Movie;PK;Rajkumar Hirani;India;N;06/09/2018;2014;146;Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
Movie;The Debt Collector;Jesse V. Johnson;United Kingdom, United States;Y;03/09/2018;2018;96;A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.
TV Show;Monkey Twins;;Thailand;N;02/09/2018;2018;1;Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.
TV Show;Quantico;;United States;N;02/09/2018;2018;3;When evidence in a deadly terrorist attack implicates FBI trainee Alex Parrish, she must discover which one of her classmates framed her.
TV Show;Age of Rebellion;Peter Ho;Taiwan;N;01/09/2018;2018;1;At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.
Movie;Carbon;Olivier Marchal;France, Belgium;Y;01/09/2018;2017;104;On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.
Movie;Garbage;Qaushiq Mukherjee;India;N;01/09/2018;2018;109;The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller.
Movie;??Kuch Bheege Alfaaz;Onir;India;N;01/09/2018;2018;110;After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.
Movie;Love and Shukla;Jatla Siddartha;India;N;01/09/2018;2017;110;A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.
Movie;Once Again;Kanwal Sethi;India, Germany, Austria;Y;01/09/2018;2018;101;After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.
TV Show;Sisters;;Australia;N;01/09/2018;2018;1;Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.
Movie;Sparring;Samuel Jouy;France;N;01/09/2018;2017;94;A middle-aged boxer with a mixed record becomes a champion's sparring partner while dreaming of one last chance to end his career with a victory.
TV Show;Cathedral of the Sea;;Spain;N;31/08/2018;2017;1;In 14th-century Barcelona, a serf's determined climb to wealth and freedom incurs the disdain of the noble class and the suspicion of the Inquisition.
TV Show;Inside the Criminal Mind;;United States, Czech Republic;Y;31/08/2018;2018;1;Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.
TV Show;The Comedy Lineup;;United States;N;31/08/2018;2018;2;A diverse group of up-and-coming comedians perform 15-minute sets in this stand-up comedy showcase series.
Movie;The Laws of Thermodynamics;Mateo Gil;Spain;N;31/08/2018;2018;101;A physicist uses the laws of thermodynamics to describe romance and relationships, but his theories prove faulty when it comes to his own love life.
TV Show;Ultimate Beastmaster;;United States, Brazil, South Korea, Mexico, Japan, Germany;Y;31/08/2018;2018;3;In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.
TV Show;Undercover Law;;Colombia;N;31/08/2018;2017;1;Female intelligence agents infiltrate the disparate aspects of a Colombian cartel in an attempt to take down the drug lords and their associates.
Movie;Naam Shabana;Shivam Nair;India;N;28/08/2018;2017;141;A fiery young woman accepts help from a spy agency to avenge her lover's murder. In return, she must prove herself as one of their top recruits.
Movie;Qarib Qarib Singlle;Tanuja Chandra;India;N;28/08/2018;2017;120;After reluctantly joining a dating app, a 35-year-old widow accompanies an easygoing poet on a trip to visit three of his exes.
Movie;Spyder;A.R. Murugadoss;India;N;28/08/2018;2017;140;When an Intelligence Bureau officer’s phone-tapping day job leads him to a serial killer, he must track down and thwart the murderer’s next steps.
TV Show;Chicken Soup for the Soul's Being Dad;;United States;N;27/08/2018;2018;1;Nine dads around America with different family structures, backgrounds and jobs navigate the joys and challenges of fatherhood.
Movie;Maria Bamford: The Special Special Special;Jordan Brady;United States;N;25/08/2018;2012;50;Spend an evening with gleeful, oh-so-awkward Maria Bamford via her cozy, shot-at-home comedy special, which has a two-person audience: her parents.
TV Show;GHOUL;Patrick Graham;India;N;24/08/2018;2018;1;When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival.
Movie;One Last Shot;Mike Clattenburg;Canada;N;24/08/2018;1998;31;In this low-budget short film, two best buddies meet up for a night of booze-fueled fun before one of them moves to Vancouver.
TV Show;Take My Brother Away;Han Qing;China;N;24/08/2018;2018;1;Bickering siblings Shi Miao and Shi Fen tackle friendship matters, school drama and the pitfalls of growing up with little parental supervision.
Movie;The After Party;Ian Edelman;United States;N;24/08/2018;2018;90;An aspiring rapper and his best friend/manager have one night to bounce back from embarrassment and make their dreams of hip-hop stardom come true.
TV Show;The Innocents;;United Kingdom;N;24/08/2018;2018;1;Runaway teen lovers June and Harry find themselves swept up in a dangerous and confusing new world when June begins to display mysterious abilities.
Movie;Bareilly Ki Barfi;Ashwiny Iyer Tiwari;India;N;21/08/2018;2017;110;When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection.
Movie;Mersal;Atlee Kumar;India;N;21/08/2018;2017;162;A detective arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge, corruption and magic.
Movie;Mom;Ravi Udyawar;India;N;21/08/2018;2017;139;After her stepdaughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free.
Movie;Pad Man;R. Balki;India;N;21/08/2018;2018;130;Despite public humiliation and resistance, an entrepreneur markets a hygienic, low-cost sanitary pad that even India's poorest women can afford.
Movie;Toilet: Ek Prem Katha;Shree Narayan Singh;India;N;21/08/2018;2017;145;On her first day of marriage, a woman leaves her husband upon learning his home lacks a toilet, sparking a quixotic quest to acquire modern sanitation.
Movie;Party Monster: Scratching the Surface;;United States;N;17/08/2018;2018;33;"In the probing documentary ""Party Monster,"" DJ Fingablast investigates what became of his childhood hero, DJ Slizzard."
TV Show;Stay Here;;United States;N;17/08/2018;2018;1;Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.
Movie;The Motive;Manuel Martín Cuenca;Spain, Mexico;Y;17/08/2018;2017;114;An aspiring writer with no imagination seeks inspiration for his novel by manipulating the lives of his neighbors so that he can write about them.
Movie;To All the Boys I’ve Loved Before;Susan Johnson;United States;N;17/08/2018;2018;100;When her secret love letters somehow get mailed to each of her five crushes, Lara Jean finds her quiet high school existence turned upside down.
Movie;Yoo Byung Jae: Discomfort Zone;Y. Joon Chung;South Korea;N;17/08/2018;2018;54;Daring comedian Yoo Byung-jae connects criticism he's received from the general public to some of the most touchy issues in current Korean society.
Movie;Bhavesh Joshi Superhero;Vikramaditya Motwane;India;N;16/08/2018;2018;150;When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice.
Movie;For Here or to Go?;Rucha Humnabadkar;United States, India;Y;15/08/2018;2015;105;A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
TV Show;72 Dangerous Animals: Asia;;Australia;N;10/08/2018;2018;1;From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?
TV Show;Afflicted;;United States;N;10/08/2018;2018;1;Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.
TV Show;All About the Washingtons;;United States;N;10/08/2018;2018;1;Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos.
Movie;The Guernsey Literary and Potato Peel Pie Society;Mike Newell;United Kingdom, France, United States;Y;10/08/2018;2018;124;A London writer bonds with the colorful residents of Guernsey as she learns about the book club they formed during the WWII German occupation.
Movie;The Package;Jake Szymanski;United States;N;10/08/2018;2018;95;After their buddy suffers an unfortunate accident during spring break, four pals risk everything – including their dignity – to make him whole again.
Movie;Zion;Floyd Russ;United States;N;10/08/2018;2018;12;Born without legs and stuck in foster care for years, teen Zion Clark finds his calling when he pursues competitive wrestling. A documentary short.
Movie;Perdida;Alejandro Montiel;Argentina, Spain;Y;09/08/2018;2018;104;A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.
TV Show;The Originals;;United States;N;09/08/2018;2018;5;"The Mikaelsons move to New Orleans and form an alliance with local witches in an effort to rule the city once again in this ""Vampire Diaries"" spinoff."
TV Show;On Children;;Taiwan;N;05/08/2018;2018;1;These uncanny tales reveal a world where individuals face the tragic consequences of social pressure, parental oppression and family dysfunction.
Movie;2 States;Abhishek Varman;India;N;04/08/2018;2014;143;Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.
Movie;Baaghi;Sabir Khan;India;N;04/08/2018;2016;127;A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.
Movie;Brij Mohan Amar Rahe;Nikhil Nagesh Bhat;India;N;04/08/2018;2018;100;Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan – until he was sentenced to death for his own murder.
Movie;Flavors of Youth: International Version;Xiaoxing Yi, Yoshitaka Takeuchi, Haoling Li;China, Japan;Y;04/08/2018;2018;74;Memories in a bowl of steaming noodles, a fading beauty finding her way and a bittersweet first love – all in these stories of city life in China.
TV Show;Cocaine Coast;;Spain;N;03/08/2018;2018;1;In 1980s Galicia, Spain, a young fisherman becomes a prosperous cocaine smuggler by providing Latin American suppliers with a European entry point.
Movie;Like Father;Lauren Miller Rogen;United States;N;03/08/2018;2018;104;After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.
Movie;7 Khoon Maaf;Vishal Bhardwaj;India;N;02/08/2018;2011;148;Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.
Movie;Chillar Party;Vikas Bahl, Nitesh Tiwari;India;N;02/08/2018;2011;127;Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal.
Movie;Fashion;Madhur Bhandarkar;India;N;02/08/2018;2008;158;A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.
Movie;Fitoor;Abhishek Kapoor;India;N;02/08/2018;2016;124;A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.
Movie;Fiza;Khalid Mohamed;India;N;02/08/2018;2000;163;Fiza's brother disappears during Mumbai's horrifying 1993 riots. Each day, Fiza and her widowed mother hope that he will return.
Movie;Guzaarish;Sanjay Leela Bhansali;India;N;02/08/2018;2010;121;After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die.
Movie;Haider;Vishal Bhardwaj;India;N;02/08/2018;2014;154;Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.
Movie;Highway;Imtiaz Ali;India;N;02/08/2018;2014;127;City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated.
Movie;I Hate Luv Storys;Punit Malhotra;India;N;02/08/2018;2010;128;This Bollywood spoof recounts the ups and downs of an assistant film director who loathes romance and a designer who adores all things sentimental.
Movie;Joker;Shirish Kunder;India;N;02/08/2018;2012;98;A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.
Movie;Main aurr Mrs. Khanna;Prem Soni;India;N;02/08/2018;2009;109;A financially troubled Indian man heads to Singapore to find employment, while his pretty wife stays behind in a move that could cause trouble.
Movie;Mohenjo Daro;Ashutosh Gowariker;India;N;02/08/2018;2016;168;A courageous villager moves to the ancient city of Mohenjo Daro, where he falls for the daughter of a priest and does battle with a tyrant.
Movie;Raajneeti;Prakash Jha;India;N;02/08/2018;2010;162;When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.
Movie;Rang De Basanti;Rakeysh Omprakash Mehra;India;N;02/08/2018;2006;159;An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.
Movie;Rowdy Rathore;Prabhu Deva;India;N;02/08/2018;2012;137;A con man uncovers a deadly secret and must save his lady love, the little girl who insists she's his daughter and the small-town locals from the mob.
Movie;Tamasha;Imtiaz Ali;India;N;02/08/2018;2015;133;Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.
Movie;Tere Naal Love Ho Gaya;Mandeep Kumar;India;N;02/08/2018;2012;127;Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father.
Movie;Thank You;Anees Bazmee;India;N;02/08/2018;2011;131;Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective – who falls for one of the wives.
Movie;The Blue Umbrella;Vishal Bhardwaj;India;N;02/08/2018;2005;90;A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss.
TV Show;Becoming Champions;;Mexico;N;01/08/2018;2018;1;This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.
Movie;Being Napoleon;Jesse Handsher, Olivier Roland;United States;N;01/08/2018;2018;88;On the 200th anniversary of the Battle of Waterloo, thousands of enthusiasts reenact the epic clash. But there can only be one Napoleon.
Movie;Invisible;Pablo Giorgelli;Argentina, France;Y;01/08/2018;2017;87;After learning she's pregnant, a teen grapples with the consequences while trying to go about her life as if nothing has changed.
TV Show;Switched;;Japan;N;01/08/2018;2018;1;High schooler Ayumi's perfect world evaporates when her envious classmate Zenko somehow steals her body, her boyfriend and her life.
TV Show;The Could’ve-Gone-All-the-Way Committee;;Japan;N;01/08/2018;2018;1;People bring their stories of missed lust connections to an objective panel of experts who then judge whether they could have gone all the way or not.
TV Show;A Very Secret Service;;France;N;30/07/2018;2018;2;At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.
TV Show;SWORDGAI The Animation;;Japan;N;30/07/2018;2018;2;A young man becomes host to a legendary infernal sword and, with the fate of humanity now in his arm, wields its demonic power against his enemies.
Movie;Da Kath & Kim Code;Ted Emery;Australia;N;28/07/2018;2005;82;Kath and Kel's union is tested by Michael Bublé, daughter Kim tries pole dancing, pal Sharon finds love online, and a stalker lurks amid Yuletide cheer.
Movie;Kath & Kimderella;Ted Emery;Australia;N;28/07/2018;2012;86;Chipper baby boomer Kath, diva daughter Kim and hapless pal Sharon visit Papilloma, Italy, where a royal romance and knockoff fashions await.
TV Show;Kath and Kim;;Australia;N;28/07/2018;2007;6;As Kath prepares to wed fine-meats purveyor Kel, her daughter Kim moves back home after becoming disillusioned with her two-month marriage to Brett.
Movie;The Mansion;Tony Datis;France, Belgium;Y;28/07/2018;2017;100;A group of students celebrates New Year's at a remote Belgian estate, where their substance-fueled revelry soon descends into a bloodstained nightmare.
Movie;Coco y Raulito: Carrusel de ternura;Raúl Campos, Jan Suter;Mexico;N;27/07/2018;2018;57;A study in contrasts, comedy partners and good friends Coco Celis and Raúl Meneses alternate separate stand-up sets for double the laughs.
TV Show;El Chapo;;Mexico, United States;Y;27/07/2018;2018;3;"This drama series chronicles the true story of the rise, capture and escape of notorious Mexican drug lord Joaquín ""El Chapo"" Guzmán."
Movie;Extinction;Ben Young;United States;N;27/07/2018;2018;95;Plagued by dreams of an alien invasion, a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants.
TV Show;Smoking;;Japan;N;27/07/2018;2018;1;Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.
Movie;The Bleeding Edge;Kirby Dick;Australia, United States;Y;27/07/2018;2018;101;This eye-opening look at the fast-growing medical device industry reveals how the rush to innovate can lead to devastating consequences for patients.
TV Show;Welcome to the Family;;Spain;N;27/07/2018;2018;1;When an evicted single mom's estranged father dies, she and his second wife cover up his death after learning they've been written out of his will.
Movie;Parmanu: The Story of Pokhran;Abhishek Sharma;India;N;25/07/2018;2018;124;A dedicated government official puts his career in jeopardy by insisting that India become a nuclear power, a goal that powerful forces resist.
Movie;Iliza Shlesinger: Elder Millennial;Steve Paley;United States;N;24/07/2018;2018;72;Newly engaged comic Iliza Shlesinger dives into undeniable truths about life at age 35, the insanity of the road traveled and what's to come.
Movie;The Warning;Daniel Calparsoro;Spain;N;24/07/2018;2018;93;After his friend is shot, Jon finds a mathematical pattern behind deaths that occurred at the same location and sets out to warn the next young victim.
TV Show;Amazing Interiors;;United Kingdom;N;20/07/2018;2018;1;Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium.
TV Show;Dark Tourist;;New Zealand;N;20/07/2018;2018;1;From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world.
Movie;Duck Duck Goose;Chris Jenkins;China, United States, United Kingdom;Y;20/07/2018;2018;92;As his flock's annual migration nears, a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.
Movie;Father of the Year;;United States;N;20/07/2018;2018;95;A drunken debate between two recent college grads about whose father would win in a fight leads to mayhem when their dads take the challenge seriously.
TV Show;Home: Adventures with Tip & Oh;;United States;N;20/07/2018;2018;4;A misfit alien named Oh moves in with Tip and her family, in a series that picks up the dynamic duo's adventures where the hit film left off.
TV Show;Jimmy: The True Story of a True Idiot;;Japan;N;20/07/2018;2018;1;In the 1980s, a simple-minded fool named Hideaki meets comedy legend Sanma, changes his name to Jimmy and becomes a comedic superstar.
TV Show;Luna Petunia: Return to Amazia;;Canada, United States;Y;20/07/2018;2018;2;Luna Petunia returns to magical Amazia, adding memories to her scrapbook with old friends – and a new pal from the Animal Empire.
Movie;Nothing to Lose;Alexandre Avancini;Brazil;N;20/07/2018;2018;133;This biographical drama traces the rise to fame of controversial Brazilian evangelical leader and business titan Edir Macedo.
Movie;El club de los buenos infieles;;Spain;N;19/07/2018;2018;85;Four childhood buddies in passionless marriages try a counterintuitive idea: a secret club for men who want to cheat – to regain lust for their wives.
Movie;Camarón: The Film;Alexis Morante;Spain;N;18/07/2018;2018;105;This documentary looks back on the life of legendary flamenco singer Camarón, who went from humble roots to rock star status to a tragic early death.
Movie;GODZILLA City on the Edge of Battle;Kobun Shizuno, Hiroyuki Seshita;Japan;N;18/07/2018;2018;101;On Earth, Haruo and his companions make contact with the indigenous Houtua tribe. To defeat Godzilla, they set out for the old Mechagodzilla facility.
Movie;Going for Gold;Clay Glen;Australia;N;15/07/2018;2018;88;After moving to Australia, an American teen convinces her new friends to form a cheer squad and take on their biggest rivals in competition.
